SampleID	Sex	Stress	OTU1	OTU2	OTU3	OTU4	OTU5	OTU6	OTU7	OTU8	OTU9	OTU10	OTU11	OTU12	OTU13	OTU14	OTU15	OTU16	OTU17	OTU18	OTU19	OTU20	OTU21	OTU22	OTU23	OTU24	OTU25	OTU26	OTU27	OTU28	OTU29	OTU30	OTU31	OTU32	OTU33	OTU34	OTU35	OTU36	OTU37	OTU38	OTU39	OTU40	OTU41	OTU42	OTU43	OTU44	OTU45	OTU46	OTU47	OTU48	OTU49	OTU50	OTU51	OTU52	OTU53	OTU54	OTU55	OTU56	OTU57	OTU58	OTU59	OTU60	OTU61	OTU62	OTU63	OTU64	OTU65	OTU66	OTU67	OTU68	OTU69	OTU70	OTU71	OTU72	OTU73	OTU74	OTU75	OTU76	OTU77	OTU78	OTU79	OTU80	OTU81	OTU82	OTU83	OTU84	OTU85	OTU86	OTU87	OTU88	OTU89	OTU90	OTU91	OTU92	OTU93	OTU94	OTU95	OTU96	OTU97	OTU98	OTU99	OTU100	OTU101	OTU102	OTU103	OTU104	OTU105	OTU106	OTU107	OTU108	OTU109	OTU110	OTU111	OTU112	OTU113	OTU114	OTU115	OTU116	OTU117	OTU118	OTU119	OTU120	OTU121	OTU122	OTU123	OTU124	OTU125	OTU126	OTU127	OTU128	OTU129	OTU130	OTU131	OTU132	OTU133	OTU134	OTU135
1FCRD	Female	Heat-stressed	0	1146	0	4	0	4	0	0	1	0	2	0	0	3	36	0	3	2	1	35	0	5	4	1	32	0	0	0	0	0	120	277	1	1	0	41	0	24	1	0	0	8	2701	3	9	19	34	0	47	0	0	2	0	4428	0	5	2	1	0	0	0	173	0	0	1	0	504	0	6	0	0	0	7	4	0	1	957	0	1	0	0	10	2	376	0	0	2	0	4	772	4	1	17	26	0	0	0	2	0	3	4	0	0	7	11	13	3	5	1	1	0	4	0	0	7	0	0	0	0	1	0	1	1	5	8	9	28	3	3	2	3	0	2	1	1
1FDRA	Male	Non-stressed	2	0	0	26	0	412	5	3	5	2	1	1	0	1	0	23	0	44	0	16	0	3	2	2	42	81	0	1	1	9	0	210	23	0	8	0	2	0	0	1	0	6	7	33	0	15	0	55	78	103	11	5	16	3182	9	0	0	41	3	3	1	51	9	1	5	5	235	128	2	10	2	13	6	25	0	2	5636	1	0	1	6	14	1	2	4	2	40	0	778	350	2	32	14	0	2	1	1	0	2	0	0	0	2	7	2	4	0	21	5	2	2	26	1	3	0	0	1	2	2	0	5	1	6	9	1	11	0	4	0	0	2	1	0	2	1
1FDRB	Female	Non-stressed	0	3	0	14	2	100	0	1	2	0	0	2	0	0	0	6	0	7	0	88	0	9	5	0	12	15	0	1	0	1	1	524	12	5	1	0	2	0	0	1	1	10	3	8	0	37	1	13	40	16	4	8	3	8463	1	0	6	12	5	1	0	137	2	2	2	0	1056	43	13	3	5	2	14	6	0	0	433	2	0	4	1	6	0	3	1	2	4	0	179	421	0	7	50	0	1	1	4	3	7	0	0	1	1	16	5	22	27	3	2	1	1	15	1	0	0	2	3	0	1	2	1	0	6	3	1	6	0	8	2	0	2	3	0	1	4
1FDRC	Male	Heat-stressed	0	5	0	5	0	2	0	0	0	0	0	0	13	0	0	1	0	2	0	22	0	1	42	0	3	1	0	0	0	0	0	70	0	0	0	0	0	0	0	5	2	1	8	4	0	206	1	1	6	0	0	0	1	697	0	0	53	2	0	0	15	0	0	0	1	1	10556	1	0	1	0	3	1	1	0	0	83	2	0	1	0	0	1	0	0	0	4	1	9	31	0	1	3	0	0	0	10	7	1	0	0	1	0	0	0	5	77	0	5	0	0	4	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	5	5	0	0	0	0	0
1FERA	Male	Non-stressed	1	3	0	25	3	367	2	9	1	7	0	1	0	0	0	16	1	24	0	33	0	5	1	0	28	84	0	2	2	8	0	219	35	0	1	0	5	0	0	1	0	5	7	38	1	28	0	56	57	107	22	0	10	3696	6	2	4	37	14	0	1	49	8	1	5	2	530	120	3	8	2	15	7	24	0	9	4630	0	2	5	4	10	0	1	5	1	22	0	847	516	3	20	27	0	1	1	1	0	0	0	0	0	2	5	5	16	7	13	3	0	3	34	2	1	0	0	1	6	2	2	5	5	3	4	1	10	0	7	1	1	2	3	0	2	0
1FERB	Female	Non-stressed	0	4	0	1	0	94	0	0	1	0	0	0	0	0	0	2	0	12	1	121	0	13	4	0	16	15	0	0	1	0	0	458	9	4	3	1	3	0	0	2	0	9	10	6	0	44	1	7	25	21	0	4	1	7707	0	2	7	12	0	1	0	90	2	1	1	3	1952	23	11	3	0	7	10	4	1	0	381	0	0	3	1	4	0	2	0	1	7	0	205	400	0	7	74	0	1	0	6	6	2	0	0	0	0	11	7	42	37	8	1	5	2	4	1	0	0	2	1	0	3	3	0	1	5	5	1	10	0	10	8	0	2	0	0	1	0
1FERC	Male	Heat-stressed	0	4	2	2	0	3	0	0	0	0	1	0	12	0	0	0	0	1	0	32	1	0	35	1	0	0	0	0	0	0	0	49	2	0	0	1	0	0	0	5	5	0	8	0	1	183	1	1	1	1	0	0	1	423	0	0	47	0	0	0	0	4	0	0	0	0	10959	1	0	1	0	0	0	0	0	2	37	2	0	1	0	0	0	1	0	0	1	0	0	17	1	0	8	0	0	0	3	16	0	0	0	1	0	2	1	2	91	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	9	0	1	0	2	5	6	1	0	0	0	0
1FERD	Female	Heat-stressed	0	1064	0	3	0	2	0	0	1	0	1	0	0	0	31	2	4	6	0	61	0	3	3	2	30	0	0	0	0	0	119	254	0	0	0	22	0	21	0	1	1	8	2599	4	1	21	24	1	45	1	0	3	0	4484	1	0	3	0	0	0	1	139	0	0	3	1	812	1	6	1	0	4	4	0	2	0	872	1	0	0	0	8	0	363	0	0	3	0	5	732	2	0	31	26	1	1	2	1	3	2	0	2	0	10	17	20	9	7	3	1	0	6	0	0	7	0	0	0	0	1	2	0	4	4	7	9	23	4	7	2	1	0	0	1	0
2FARA	Female	Non-stressed	1	10	0	8	0	92	0	2	0	1	0	0	0	0	0	3	0	7	1	73	0	9	1	0	6	19	0	0	6	0	1	734	6	3	0	0	1	0	0	0	0	5	9	13	0	52	0	24	23	10	2	9	3	9077	0	0	4	10	0	0	1	118	1	1	0	4	592	35	7	1	0	3	25	6	0	0	291	0	0	4	1	0	0	1	0	4	5	0	190	275	2	9	40	0	1	0	4	3	3	0	0	1	2	16	12	24	18	5	0	1	4	8	4	3	0	1	0	0	3	0	2	0	14	10	0	4	0	11	2	1	0	1	0	0	1
2FARB	Male	Non-stressed	1	7	2	29	1	409	4	3	7	1	4	2	1	0	0	21	0	37	0	19	1	3	3	1	29	91	0	1	1	3	2	243	53	1	3	0	7	0	0	1	0	7	8	39	1	8	0	90	60	100	19	1	13	3876	2	5	3	34	14	4	3	56	7	6	2	8	289	179	7	18	4	10	6	17	0	0	4625	0	0	4	10	4	4	3	5	0	31	0	784	426	7	14	13	0	4	4	0	1	0	0	0	0	4	8	6	6	6	23	6	1	1	36	3	0	0	1	2	3	0	1	11	2	1	5	0	29	0	6	1	0	6	2	1	2	1
